School,Semester,Grade,Subject,Class,Student Name,Score
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Keeley Sanford,89
Rau High School,Fall-2019,9th-Grade,Math,Pre-calculus,Garry Thiel,90
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Garry Thiel,91
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Typing,Garry Thiel,89
Rau High School,Fall-2019,9th-Grade,Vocational Education,Plumbing,Garry Thiel,72
Rau High School,Fall-2019,9th-Grade,Performing Arts,Marching band,Garry Thiel,70
Rau High School,Fall-2019,9th-Grade,Vocational Education,Robotics,Kristin Koepp,99
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP Calculus BC,Kristin Koepp,91
Rau High School,Fall-2019,9th-Grade,Arts,AP Studio art (2-D design),Kristin Koepp,79
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP European history,Kristin Koepp,86
Rau High School,Fall-2019,9th-Grade,Sciences,AP Biology,Kristin Koepp,77
Rau High School,Fall-2019,9th-Grade,Social Studies,International relations,Vince Mraz,0
Rau High School,Fall-2019,9th-Grade,Physical Education,Lifeguard training,Vince Mraz,87
Rau High School,Fall-2019,9th-Grade,Social Studies,Microeconomics,Vince Mraz,94
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP German Language and Culture,Vince Mraz,79
Rau High School,Fall-2019,9th-Grade,Arts,AP Studio art (3-D design),Vince Mraz,79
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,Fashion construction,Casimir Luettgen,95
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP United States History,Casimir Luettgen,84
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP German Language and Culture,Casimir Luettgen,74
Rau High School,Fall-2019,9th-Grade,Math,Probability,Casimir Luettgen,83
Rau High School,Fall-2019,9th-Grade,Sciences,AP Chemistry,Casimir Luettgen,71
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Film production,Colleen Toy,76
Rau High School,Fall-2019,9th-Grade,Arts,AP Music theory,Colleen Toy,88
Rau High School,Fall-2019,9th-Grade,English,Poetry,Colleen Toy,73
Rau High School,Fall-2019,9th-Grade,Performing Arts,Jazz band,Colleen Toy,98
Rau High School,Fall-2019,9th-Grade,Science,Electronics,Colleen Toy,70
Rau High School,Fall-2019,9th-Grade,Sciences,AP Environmental Science,Ralph Dibbert,75
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP Statistics,Ralph Dibbert,91
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP European history,Ralph Dibbert,72
Rau High School,Fall-2019,9th-Grade,Math,Calculus,Ralph Dibbert,99
Rau High School,Fall-2019,9th-Grade,Math,Math applications,Ralph Dibbert,87
Rau High School,Fall-2019,9th-Grade,Science,Botany,Rashad Johnston,79
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Media technology,Rashad Johnston,73
Rau High School,Fall-2019,9th-Grade,Social Studies,Current events,Rashad Johnston,78
Rau High School,Fall-2019,9th-Grade,Sciences,AP Biology,Rashad Johnston,83
Rau High School,Fall-2019,9th-Grade,Vocational Education,Hospitality and tourism,Rashad Johnston,99
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP French Language and Culture,Heather Hessel,95
Rau High School,Fall-2019,9th-Grade,English,Popular literature,Heather Hessel,76
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Film production,Heather Hessel,84
Rau High School,Fall-2019,9th-Grade,English,Communication skills,Heather Hessel,72
Rau High School,Fall-2019,9th-Grade,Business,Consumer education,Heather Hessel,99
Rau High School,Fall-2019,9th-Grade,Science,Environmental studies,Garth Mayer,86
Rau High School,Fall-2019,9th-Grade,Physical Education,Health,Garth Mayer,97
Rau High School,Fall-2019,9th-Grade,Social Studies,Sociology,Garth Mayer,80
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics 1 (Algebra-Based),Garth Mayer,86
Rau High School,Fall-2019,9th-Grade,Math,Algebra 2,Garth Mayer,71
Rau High School,Fall-2019,9th-Grade,Vocational Education,Fire science,Talon Reynolds,98
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP Microeconomics,Talon Reynolds,72
Rau High School,Fall-2019,9th-Grade,Visual Arts,Printmaking,Talon Reynolds,83
Rau High School,Fall-2019,9th-Grade,English,Literary analysis,Talon Reynolds,81
Rau High School,Fall-2019,9th-Grade,Performing Arts,Jazz band,Talon Reynolds,75
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Music production,Ansley Schinner,80
Rau High School,Fall-2019,9th-Grade,Physical Education,Weight training,Ansley Schinner,95
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,Chemistry of foods,Ansley Schinner,99
Rau High School,Fall-2019,9th-Grade,Science,Marine biology,Ansley Schinner,74
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Audio production,Ansley Schinner,96
Rau High School,Fall-2019,9th-Grade,Performing Arts,Music theory,Jasmin Goodwin,83
Rau High School,Fall-2019,9th-Grade,Vocational Education,Plumbing,Jasmin Goodwin,80
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP Calculus AB,Jasmin Goodwin,77
Rau High School,Fall-2019,9th-Grade,Math,Math applications,Jasmin Goodwin,79
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP Microeconomics,Jasmin Goodwin,97
Rau High School,Fall-2019,9th-Grade,Arts,AP Music theory,Abelardo D'Amore,87
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,Family studies,Abelardo D'Amore,100
Rau High School,Fall-2019,9th-Grade,Performing Arts,World music,Abelardo D'Amore,99
Rau High School,Fall-2019,9th-Grade,Physical Education,Lifeguard training,Abelardo D'Amore,94
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Italian Language and Culture,Abelardo D'Amore,71
Rau High School,Fall-2019,9th-Grade,Visual Arts,Sculpture,Gunnar Jakubowski,80
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,CPR training,Gunnar Jakubowski,89
Rau High School,Fall-2019,9th-Grade,Performing Arts,Marching band,Gunnar Jakubowski,72
Rau High School,Fall-2019,9th-Grade,Business,Introduction to business,Gunnar Jakubowski,79
Rau High School,Fall-2019,9th-Grade,Foreign Language,Arabic,Gunnar Jakubowski,87
Rau High School,Fall-2019,9th-Grade,Visual Arts,Jewelry design,Anahi Ortiz,85
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,Chemistry of foods,Anahi Ortiz,83
Rau High School,Fall-2019,9th-Grade,Visual Arts,Printmaking,Anahi Ortiz,75
Rau High School,Fall-2019,9th-Grade,Family and Consumer Science,Home economics,Anahi Ortiz,88
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics 1 (Algebra-Based),Anahi Ortiz,0
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Juston Grant,91
Rau High School,Fall-2019,9th-Grade,Social Studies,US government,Juston Grant,79
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP Chinese Language and Culture,Juston Grant,95
Rau High School,Fall-2019,9th-Grade,Arts,AP Studio art (3-D design),Juston Grant,80
Rau High School,Fall-2019,9th-Grade,Vocational Education,Production technology,Juston Grant,95
Rau High School,Fall-2019,9th-Grade,Business,Entrepreneurial skills,Sadye Schinner,91
Rau High School,Fall-2019,9th-Grade,Arts,AP Studio art (drawing),Sadye Schinner,78
Rau High School,Fall-2019,9th-Grade,English,Literary analysis,Sadye Schinner,93
Rau High School,Fall-2019,9th-Grade,Foreign Language,Arabic,Sadye Schinner,96
Rau High School,Fall-2019,9th-Grade,Arts,AP Music theory,Sadye Schinner,94
Rau High School,Fall-2019,9th-Grade,World Languages and Cultures,AP French Language and Culture,Audrey Lang,77
Rau High School,Fall-2019,9th-Grade,History & Social Science,AP United States Government and Politics,Audrey Lang,77
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Audio production,Audrey Lang,97
Rau High School,Fall-2019,9th-Grade,English,Written and oral communication,Audrey Lang,76
Rau High School,Fall-2019,9th-Grade,Sciences,AP Physics 2 (Algebra-Based),Audrey Lang,92
Rau High School,Fall-2019,9th-Grade,Vocational Education,Auto mechanics,Jalon Bechtelar,92
Rau High School,Fall-2019,9th-Grade,Computer Science/Information Technology,Word processing,Jalon Bechtelar,96
Rau High School,Fall-2019,9th-Grade,Math,Probability,Jalon Bechtelar,75
Rau High School,Fall-2019,9th-Grade,Performing Arts,Choir,Jalon Bechtelar,81
Rau High School,Fall-2019,9th-Grade,Science,Electronics,Jalon Bechtelar,97
Rau High School,Fall-2019,10th-Grade,Social Studies,Modern world studies,Demario Bogisich,75
Rau High School,Fall-2019,10th-Grade,Business,Consumer education,Demario Bogisich,71
Rau High School,Fall-2019,10th-Grade,Math,Fundamentals of math,Demario Bogisich,82
Rau High School,Fall-2019,10th-Grade,Social Studies,Cultural anthropology,Demario Bogisich,0
Rau High School,Fall-2019,10th-Grade,Sciences,AP Biology,Demario Bogisich,75
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP United States History,Jarod Schumm,78
Rau High School,Fall-2019,10th-Grade,Performing Arts,Orchestra,Jarod Schumm,74
Rau High School,Fall-2019,10th-Grade,Vocational Education,Metalworking,Jarod Schumm,94
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Word processing,Jarod Schumm,96
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web design,Jarod Schumm,77
Rau High School,Fall-2019,10th-Grade,English,Journalism,Madisyn Hermiston,71
Rau High School,Fall-2019,10th-Grade,English,Written and oral communication,Madisyn Hermiston,78
Rau High School,Fall-2019,10th-Grade,Foreign Language,Japanese,Madisyn Hermiston,87
Rau High School,Fall-2019,10th-Grade,Arts,AP Studio art (drawing),Madisyn Hermiston,91
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Madisyn Hermiston,70
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics 1 (Algebra-Based),Mariah McGlynn,79
Rau High School,Fall-2019,10th-Grade,English,Creative writing,Mariah McGlynn,92
Rau High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Mariah McGlynn,77
Rau High School,Fall-2019,10th-Grade,Social Studies,Cultural anthropology,Mariah McGlynn,89
Rau High School,Fall-2019,10th-Grade,Science,Geology,Mariah McGlynn,98
Rau High School,Fall-2019,10th-Grade,Physical Education,Gymnastics,Caitlyn Weimann,92
Rau High School,Fall-2019,10th-Grade,Science,Earth science,Caitlyn Weimann,70
Rau High School,Fall-2019,10th-Grade,Arts,AP Studio art (3-D design),Caitlyn Weimann,72
Rau High School,Fall-2019,10th-Grade,English,Modern literature,Caitlyn Weimann,72
Rau High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Caitlyn Weimann,78
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Music production,Enid Graham,88
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web programming,Enid Graham,70
Rau High School,Fall-2019,10th-Grade,Visual Arts,Drawing,Enid Graham,96
Rau High School,Fall-2019,10th-Grade,Visual Arts,Art history,Enid Graham,96
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Latin,Enid Graham,71
Rau High School,Fall-2019,10th-Grade,Math,Statistics,Dayana Kuhlman,86
Rau High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Dayana Kuhlman,99
Rau High School,Fall-2019,10th-Grade,Foreign Language,Latin,Dayana Kuhlman,83
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Dayana Kuhlman,0
Rau High School,Fall-2019,10th-Grade,Business,Marketing,Dayana Kuhlman,97
Rau High School,Fall-2019,10th-Grade,Science,Forensic science,Aubrey Krajcik,76
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Comparative government and politics,Aubrey Krajcik,89
Rau High School,Fall-2019,10th-Grade,English,Written and oral communication,Aubrey Krajcik,90
Rau High School,Fall-2019,10th-Grade,Math,Algebra 2,Aubrey Krajcik,80
Rau High School,Fall-2019,10th-Grade,Performing Arts,Dance,Aubrey Krajcik,81
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Greyson Homenick,93
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Greyson Homenick,74
Rau High School,Fall-2019,10th-Grade,Foreign Language,German,Greyson Homenick,79
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Family studies,Greyson Homenick,71
Rau High School,Fall-2019,10th-Grade,Vocational Education,FFA (Future Farmers of America),Greyson Homenick,87
Rau High School,Fall-2019,10th-Grade,Business,Marketing,Lizzie Goyette,83
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Macroeconomics,Lizzie Goyette,94
Rau High School,Fall-2019,10th-Grade,Vocational Education,Metalworking,Lizzie Goyette,91
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Lizzie Goyette,74
Rau High School,Fall-2019,10th-Grade,Performing Arts,Marching band,Lizzie Goyette,80
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Audio production,Marielle Streich,88
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Marielle Streich,80
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Marielle Streich,73
Rau High School,Fall-2019,10th-Grade,Business,Entrepreneurial skills,Marielle Streich,100
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Marielle Streich,86
Rau High School,Fall-2019,10th-Grade,Math,Consumer math,Izaiah Kovacek,91
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Latin,Izaiah Kovacek,91
Rau High School,Fall-2019,10th-Grade,Vocational Education,Networking,Izaiah Kovacek,0
Rau High School,Fall-2019,10th-Grade,Visual Arts,Jewelry design,Izaiah Kovacek,93
Rau High School,Fall-2019,10th-Grade,Physical Education,Specialized sports,Izaiah Kovacek,86
Rau High School,Fall-2019,10th-Grade,Business,Business law,Zackary Ledner,83
Rau High School,Fall-2019,10th-Grade,Social Studies,Modern world studies,Zackary Ledner,93
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP World History,Zackary Ledner,100
Rau High School,Fall-2019,10th-Grade,Performing Arts,Marching band,Zackary Ledner,75
Rau High School,Fall-2019,10th-Grade,English,Debate,Zackary Ledner,93
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Calculus BC,Jordan Metz,79
Rau High School,Fall-2019,10th-Grade,Physical Education,Specialized sports,Jordan Metz,80
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP French Language and Culture,Jordan Metz,77
Rau High School,Fall-2019,10th-Grade,English,Works of Shakespeare,Jordan Metz,72
Rau High School,Fall-2019,10th-Grade,Arts,AP Studio art (3-D design),Jordan Metz,100
Rau High School,Fall-2019,10th-Grade,English,Written and oral communication,Keshaun Thompson,90
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP European history,Keshaun Thompson,77
Rau High School,Fall-2019,10th-Grade,Vocational Education,Metalworking,Keshaun Thompson,85
Rau High School,Fall-2019,10th-Grade,Arts,AP Music theory,Keshaun Thompson,96
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Computer Science A,Keshaun Thompson,70
Rau High School,Fall-2019,10th-Grade,Arts,AP Art history,Aurelio O'Keefe,73
Rau High School,Fall-2019,10th-Grade,Business,Accounting,Aurelio O'Keefe,88
Rau High School,Fall-2019,10th-Grade,Physical Education,Lifeguard training,Aurelio O'Keefe,71
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Fashion construction,Aurelio O'Keefe,89
Rau High School,Fall-2019,10th-Grade,English,Journalism,Aurelio O'Keefe,0
Rau High School,Fall-2019,10th-Grade,Performing Arts,Concert band,Benton Olson,93
Rau High School,Fall-2019,10th-Grade,Business,Marketing,Benton Olson,70
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Macroeconomics,Benton Olson,76
Rau High School,Fall-2019,10th-Grade,Physical Education,Swimming,Benton Olson,82
Rau High School,Fall-2019,10th-Grade,Physical Education,Yoga,Benton Olson,86
Rau High School,Fall-2019,10th-Grade,Vocational Education,Auto body repair,Makenna Davis,72
Rau High School,Fall-2019,10th-Grade,Arts,AP Music theory,Makenna Davis,84
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Calculus AB,Makenna Davis,93
Rau High School,Fall-2019,10th-Grade,English,Creative writing,Makenna Davis,100
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Early childhood development,Makenna Davis,96
Rau High School,Fall-2019,10th-Grade,Vocational Education,Robotics,Zachariah Harber,71
Rau High School,Fall-2019,10th-Grade,Science,Botany,Zachariah Harber,76
Rau High School,Fall-2019,10th-Grade,Social Studies,World religions,Zachariah Harber,84
Rau High School,Fall-2019,10th-Grade,Physical Education,Yoga,Zachariah Harber,88
Rau High School,Fall-2019,10th-Grade,Social Studies,International relations,Zachariah Harber,72
Rau High School,Fall-2019,10th-Grade,Arts,AP Music theory,Alison Smith,0
Rau High School,Fall-2019,10th-Grade,English,Communication skills,Alison Smith,83
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Psychology,Alison Smith,92
Rau High School,Fall-2019,10th-Grade,Sciences,AP Biology,Alison Smith,92
Rau High School,Fall-2019,10th-Grade,Vocational Education,Robotics,Alison Smith,91
Rau High School,Fall-2019,10th-Grade,History & Social Science,Math & Computer Science,Amina Gerhold,70
Rau High School,Fall-2019,10th-Grade,Business,Consumer education,Amina Gerhold,75
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Culinary arts,Amina Gerhold,73
Rau High School,Fall-2019,10th-Grade,Social Studies,Global studies,Amina Gerhold,96
Rau High School,Fall-2019,10th-Grade,English,World literature,Amina Gerhold,78
Rau High School,Fall-2019,10th-Grade,Math,Statistics,Ayla Torphy,74
Rau High School,Fall-2019,10th-Grade,Science,Earth science,Ayla Torphy,96
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Web design,Ayla Torphy,73
Rau High School,Fall-2019,10th-Grade,Math,Pre-calculus,Ayla Torphy,99
Rau High School,Fall-2019,10th-Grade,Social Studies,Religious studies,Ayla Torphy,88
Rau High School,Fall-2019,10th-Grade,English,World literature,Darron Upton,83
Rau High School,Fall-2019,10th-Grade,Physical Education,Dance,Darron Upton,0
Rau High School,Fall-2019,10th-Grade,Sciences,AP Environmental Science,Darron Upton,85
Rau High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Darron Upton,89
Rau High School,Fall-2019,10th-Grade,Foreign Language,Portuguese,Darron Upton,70
Rau High School,Fall-2019,10th-Grade,English,Written and oral communication,Hillary Renner,71
Rau High School,Fall-2019,10th-Grade,Social Studies,World history,Hillary Renner,95
Rau High School,Fall-2019,10th-Grade,English,Technical writing,Hillary Renner,94
Rau High School,Fall-2019,10th-Grade,Math,Statistics,Hillary Renner,83
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Microeconomics,Hillary Renner,79
Rau High School,Fall-2019,10th-Grade,Math,Calculus,Roxanne Gusikowski,72
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Roxanne Gusikowski,0
Rau High School,Fall-2019,10th-Grade,Science,Marine biology,Roxanne Gusikowski,86
Rau High School,Fall-2019,10th-Grade,Arts,AP Studio art (2-D design),Roxanne Gusikowski,85
Rau High School,Fall-2019,10th-Grade,English,Works of Shakespeare,Roxanne Gusikowski,97
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Calculus AB,Tressie Kuphal,92
Rau High School,Fall-2019,10th-Grade,Sciences,AP Physics 2 (Algebra-Based),Tressie Kuphal,79
Rau High School,Fall-2019,10th-Grade,Arts,AP Music theory,Tressie Kuphal,0
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Culinary arts,Tressie Kuphal,70
Rau High School,Fall-2019,10th-Grade,Science,Physical science,Tressie Kuphal,74
Rau High School,Fall-2019,10th-Grade,Science,Earth science,Austyn Legros,99
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Austyn Legros,82
Rau High School,Fall-2019,10th-Grade,Physical Education,Dance,Austyn Legros,77
Rau High School,Fall-2019,10th-Grade,Visual Arts,Drawing,Austyn Legros,73
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Japanese Language and Culture,Austyn Legros,86
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP Statistics,Alek Gleason,90
Rau High School,Fall-2019,10th-Grade,Sciences,AP Chemistry,Alek Gleason,97
Rau High School,Fall-2019,10th-Grade,Arts,AP Art history,Alek Gleason,73
Rau High School,Fall-2019,10th-Grade,Foreign Language,Italian,Alek Gleason,72
Rau High School,Fall-2019,10th-Grade,Family and Consumer Science,Family studies,Alek Gleason,71
Rau High School,Fall-2019,10th-Grade,Vocational Education,Electronics,Verner Gulgowski,100
Rau High School,Fall-2019,10th-Grade,Science,Geology,Verner Gulgowski,72
Rau High School,Fall-2019,10th-Grade,Foreign Language,Russian,Verner Gulgowski,0
Rau High School,Fall-2019,10th-Grade,Social Studies,Human geography,Verner Gulgowski,93
Rau High School,Fall-2019,10th-Grade,Computer Science/Information Technology,Animation,Verner Gulgowski,88
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP Italian Language and Culture,Tyrique Stokes,81
Rau High School,Fall-2019,10th-Grade,History & Social Science,AP United States Government and Politics,Tyrique Stokes,73
Rau High School,Fall-2019,10th-Grade,Social Studies,Law,Tyrique Stokes,70
Rau High School,Fall-2019,10th-Grade,World Languages and Cultures,AP German Language and Culture,Tyrique Stokes,82
Rau High School,Fall-2019,10th-Grade,Visual Arts,Art history,Tyrique Stokes,98
Rau High School,Fall-2019,11th-Grade,Social Studies,Modern world studies,Julia Feil,97
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Media technology,Julia Feil,80
Rau High School,Fall-2019,11th-Grade,Sciences,AP Environmental Science,Julia Feil,97
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Early childhood development,Julia Feil,79
Rau High School,Fall-2019,11th-Grade,English,Rhetoric,Julia Feil,94
Rau High School,Fall-2019,11th-Grade,Visual Arts,3-D art,Wyatt Mraz,77
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Chemistry of foods,Wyatt Mraz,89
Rau High School,Fall-2019,11th-Grade,Performing Arts,Marching band,Wyatt Mraz,99
Rau High School,Fall-2019,11th-Grade,Foreign Language,Spanish,Wyatt Mraz,81
Rau High School,Fall-2019,11th-Grade,Physical Education,Gymnastics,Wyatt Mraz,75
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Chemistry of foods,Fannie Bailey,91
Rau High School,Fall-2019,11th-Grade,Visual Arts,Art history,Fannie Bailey,70
Rau High School,Fall-2019,11th-Grade,Science,Physics,Fannie Bailey,77
Rau High School,Fall-2019,11th-Grade,Vocational Education,Heating and cooling systems,Fannie Bailey,93
Rau High School,Fall-2019,11th-Grade,Performing Arts,Piano,Fannie Bailey,75
Rau High School,Fall-2019,11th-Grade,Arts,AP Music theory,Grace Kiehn,100
Rau High School,Fall-2019,11th-Grade,Business,Entrepreneurial skills,Grace Kiehn,86
Rau High School,Fall-2019,11th-Grade,Visual Arts,Drawing,Grace Kiehn,90
Rau High School,Fall-2019,11th-Grade,Vocational Education,Refrigeration fundamentals,Grace Kiehn,71
Rau High School,Fall-2019,11th-Grade,Vocational Education,Building construction,Grace Kiehn,78
Rau High School,Fall-2019,11th-Grade,Arts,AP Music theory,Jayce Lindgren,80
Rau High School,Fall-2019,11th-Grade,Physical Education,Lifeguard training,Jayce Lindgren,96
Rau High School,Fall-2019,11th-Grade,World Languages and Cultures,AP French Language and Culture,Jayce Lindgren,86
Rau High School,Fall-2019,11th-Grade,Visual Arts,Art history,Jayce Lindgren,100
Rau High School,Fall-2019,11th-Grade,Foreign Language,French,Jayce Lindgren,98
Rau High School,Fall-2019,11th-Grade,Social Studies,European history,Judd Yundt,87
Rau High School,Fall-2019,11th-Grade,Foreign Language,Portuguese,Judd Yundt,70
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Media technology,Judd Yundt,90
Rau High School,Fall-2019,11th-Grade,History & Social Science,AP Calculus BC,Judd Yundt,87
Rau High School,Fall-2019,11th-Grade,Vocational Education,Building construction,Judd Yundt,0
Rau High School,Fall-2019,11th-Grade,Science,Geology,Missouri Hodkiewicz,89
Rau High School,Fall-2019,11th-Grade,Math,Statistics,Missouri Hodkiewicz,84
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Typing,Missouri Hodkiewicz,73
Rau High School,Fall-2019,11th-Grade,Vocational Education,Plumbing,Missouri Hodkiewicz,98
Rau High School,Fall-2019,11th-Grade,Vocational Education,Production technology,Missouri Hodkiewicz,87
Rau High School,Fall-2019,11th-Grade,History & Social Science,AP Computer Science Principles,Lila Ondricka,100
Rau High School,Fall-2019,11th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Lila Ondricka,0
Rau High School,Fall-2019,11th-Grade,Physical Education,Lifeguard training,Lila Ondricka,73
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Web programming,Lila Ondricka,92
Rau High School,Fall-2019,11th-Grade,Vocational Education,Auto mechanics,Lila Ondricka,93
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,App development,Sean Rolfson,83
Rau High School,Fall-2019,11th-Grade,Math,Consumer math,Sean Rolfson,0
Rau High School,Fall-2019,11th-Grade,Visual Arts,Jewelry design,Sean Rolfson,89
Rau High School,Fall-2019,11th-Grade,History & Social Science,Math & Computer Science,Sean Rolfson,73
Rau High School,Fall-2019,11th-Grade,Vocational Education,Auto mechanics,Sean Rolfson,89
Rau High School,Fall-2019,11th-Grade,Physical Education,Aerobics,Virginie Carter,92
Rau High School,Fall-2019,11th-Grade,Sciences,AP Physics 1 (Algebra-Based),Virginie Carter,95
Rau High School,Fall-2019,11th-Grade,Visual Arts,Sculpture,Virginie Carter,94
Rau High School,Fall-2019,11th-Grade,English,Journalism,Virginie Carter,76
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Home economics,Virginie Carter,82
Rau High School,Fall-2019,11th-Grade,History & Social Science,AP Comparative government and politics,Shanelle Dickens,85
Rau High School,Fall-2019,11th-Grade,Arts,AP Art history,Shanelle Dickens,96
Rau High School,Fall-2019,11th-Grade,Sciences,AP Physics C (Electricity and Magnetism),Shanelle Dickens,94
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Web programming,Shanelle Dickens,0
Rau High School,Fall-2019,11th-Grade,Math,Trigonometry,Shanelle Dickens,83
Rau High School,Fall-2019,11th-Grade,Science,Geology,Ignatius Pollich,0
Rau High School,Fall-2019,11th-Grade,Social Studies,Macroeconomics,Ignatius Pollich,80
Rau High School,Fall-2019,11th-Grade,World Languages and Cultures,AP Spanish Language and Culture,Ignatius Pollich,86
Rau High School,Fall-2019,11th-Grade,English,Contemporary literature,Ignatius Pollich,97
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Family studies,Ignatius Pollich,93
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Interior design,Robb Wehner,90
Rau High School,Fall-2019,11th-Grade,Science,Physics,Robb Wehner,80
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Word processing,Robb Wehner,99
Rau High School,Fall-2019,11th-Grade,Computer Science/Information Technology,Animation,Robb Wehner,85
Rau High School,Fall-2019,11th-Grade,Family and Consumer Science,Family studies,Robb Wehner,75
Rau High School,Fall-2019,11th-Grade,Social Studies,US government,Katlyn Friesen,70
Rau High School,Fall-2019,11th-Grade,Arts,AP Art history,Katlyn Friesen,82
